index,channel_name,category,description,keywords,language,difficulty_level,subscribers,avg_views,content_type,content
252,indigo traveller,travel,travel to less visited places,unique travel vlog,english,Beginner,1800000.0,150000.0,travel,travel travel to less visited places unique travel vlog english travel
253,the endless adventure,travel,travel and food experiences,travel food vlog,english,Beginner,1000000.0,90000.0,travel,travel travel and food experiences travel food vlog english travel
254,prajakta koli,entertainment,comedy sketches and lifestyle videos,comedy lifestyle vlog,hindi,Beginner,7000000.0,500000.0,entertainment,entertainment comedy sketches and lifestyle videos comedy lifestyle vlog hindi entertainment
257,raj shamani,business,business insights and podcasts,business motivation podcast,hindi/english,Beginner,3000000.0,300000.0,education,business business insights and podcasts business motivation podcast hindi/english education
258,ankur warikoo,finance,personal finance and career advice,finance career growth,english,Beginner,2500000.0,200000.0,education,finance personal finance and career advice finance career growth english education
259,finance with sharan,finance,personal finance and investing,finance investing india,english,Beginner,2000000.0,180000.0,education,finance personal finance and investing finance investing india english education
262,groww,education,investing tutorials and stock market,investing stocks mutual funds,hindi/english,Beginner,6000000.0,500000.0,education,education investing tutorials and stock market investing stocks mutual funds hindi/english education
263,studyiq ias,education,upsc preparation and current affairs,upsc current affairs,hindi,Beginner,14000000.0,1000000.0,education,education upsc preparation and current affairs upsc current affairs hindi education
265,aman dhattarwal,technology,career guidance and coding,career coding motivation,hindi,Beginner,5000000.0,400000.0,education,technology career guidance and coding career coding motivation hindi education
268,telusko,technology,programming tutorials and java content,java programming coding,english,Beginner,2000000.0,150000.0,tutorials,technology programming tutorials and java content java programming coding english tutorials
272,fireship,technology,short coding explanations,coding development shorts,english,Intermediate,2500000.0,220000.0,education,technology short coding explanations coding development shorts english education
276,mark rober,science,engineering and science projects,science engineering diy,english,Beginner,25000000.0,2000000.0,education,science engineering and science projects science engineering diy english education
277,smartereveryday,travel,engineering and science exploration,science engineering learning,english,Intermediate,11000000.0,900000.0,education,travel engineering and science exploration science engineering learning english education
279,bbc earth,news,wildlife and earth documentaries,wildlife nature earth,english,Beginner,20000000.0,1600000.0,travel,news wildlife and earth documentaries wildlife nature earth english travel
281,business insider,news,business and tech news,business tech news,english,Beginner,8000000.0,700000.0,news,news business and tech news business tech news english news
282,bloomberg originals,news,business documentaries and news,business economy news,english,Beginner,3500000.0,300000.0,news,news business documentaries and news business economy news english news
284,soch by mohak mangal,entertainment,political and social analysis,india politics analysis,hindi,Beginner,3000000.0,250000.0,education,entertainment political and social analysis india politics analysis hindi education
285,film companion,entertainment,movie reviews and interviews,movies review bollywood,english,Beginner,2000000.0,150000.0,entertainment,entertainment movie reviews and interviews movies review bollywood english entertainment
286,scoopwhoop,entertainment,viral and lifestyle content,viral content india,english,Beginner,4000000.0,300000.0,entertainment,entertainment viral and lifestyle content viral content india english entertainment
287,jordindian,entertainment,comedy sketches and fun videos,comedy sketches funny,english,Beginner,2500000.0,200000.0,entertainment,entertainment comedy sketches and fun videos comedy sketches funny english entertainment
288,buzzfeed india,cooking,food and lifestyle content,food lifestyle videos,english,Beginner,5000000.0,400000.0,entertainment,cooking food and lifestyle content food lifestyle videos english entertainment
289,epicurious,cooking,professional cooking tutorials,cooking recipes chef,english,Intermediate,4500000.0,350000.0,cooking,cooking professional cooking tutorials cooking recipes chef english cooking
